freq,unit,age,sex,geo,time,value
A,NR,TOTAL,T,HU,2023,9599744
A,NR,TOTAL,T,HU,2024,9584627
A,NR,TOTAL,T,IE,2015,4677627
A,NR,TOTAL,T,IE,2016,4726286
A,NR,TOTAL,T,IE,2017,4799157
A,NR,TOTAL,T,IE,2018,4855733
A,NR,TOTAL,T,IE,2019,4940311
A,NR,TOTAL,T,IE,2020,5012600
A,NR,TOTAL,T,IE,2021,5066893
A,NR,TOTAL,T,IE,2022,5154277
A,NR,TOTAL,T,IE,2023,5271395
A,NR,TOTAL,T,IE,2024,5351681
A,NR,TOTAL,T,IT,2015,60295497
A,NR,TOTAL,T,IT,2016,60163712
A,NR,TOTAL,T,IT,2017,60066734
A,NR,TOTAL,T,IT,2018,59937769
A,NR,TOTAL,T,IT,2019,59816673
A,NR,TOTAL,T,IT,2020,59641488
A,NR,TOTAL,T,IT,2021,59236213
A,NR,TOTAL,T,IT,2022,59030133
A,NR,TOTAL,T,IT,2023,58997201
A,NR,TOTAL,T,IT,2024,58971230
A,NR,TOTAL,T,LT,2015,2926644
A,NR,TOTAL,T,LT,2016,2895573
A,NR,TOTAL,T,LT,2017,2859077
A,NR,TOTAL,T,LT,2018,2826200
A,NR,TOTAL,T,LT,2019,2812200
A,NR,TOTAL,T,LT,2020,2809977
A,NR,TOTAL,T,LT,2021,2810761
A,NR,TOTAL,T,LT,2022,2805998
A,NR,TOTAL,T,LT,2023,2857279
A,NR,TOTAL,T,LT,2024,2885891
A,NR,TOTAL,T,LU,2015,562958
A,NR,TOTAL,T,LU,2016,576249
A,NR,TOTAL,T,LU,2017,590667
A,NR,TOTAL,T,LU,2018,602005
A,NR,TOTAL,T,LU,2019,613894
A,NR,TOTAL,T,LU,2020,626108
A,NR,TOTAL,T,LU,2021,634730
A,NR,TOTAL,T,LU,2022,645397
A,NR,TOTAL,T,LU,2023,660809
A,NR,TOTAL,T,LU,2024,672050
A,NR,TOTAL,T,LV,2015,1986096
A,NR,TOTAL,T,LV,2016,1968957
A,NR,TOTAL,T,LV,2017,1950116
A,NR,TOTAL,T,LV,2018,1934379
A,NR,TOTAL,T,LV,2019,1919968
A,NR,TOTAL,T,LV,2020,1907675
A,NR,TOTAL,T,LV,2021,1893223
A,NR,TOTAL,T,LV,2022,1875757
A,NR,TOTAL,T,LV,2023,1895239
A,NR,TOTAL,T,LV,2024,1878575
A,NR,TOTAL,T,MT,2015,438805
A,NR,TOTAL,T,MT,2016,449635
A,NR,TOTAL,T,MT,2017,459375
A,NR,TOTAL,T,MT,2018,474837
A,NR,TOTAL,T,MT,2019,492968
