freq,unit,mot_nrg,geo,time,value
A,NR,ALT,MT,2020,198
A,NR,ALT,MT,2021,429
A,NR,ALT,MT,2022,999
A,NR,ALT,MT,2023,1522
A,NR,ALT,MT,2024,2893
A,NR,ALT,NL,2015,4256
A,NR,ALT,NL,2016,5514
A,NR,ALT,NL,2017,10432
A,NR,ALT,NL,2018,25960
A,NR,ALT,NL,2019,62518
A,NR,ALT,NL,2020,74987
A,NR,ALT,NL,2021,66048
A,NR,ALT,NL,2022,75641
A,NR,ALT,NL,2023,116375
A,NR,ALT,NL,2024,134356
A,NR,ALT,PL,2015,5614
A,NR,ALT,PL,2016,6659
A,NR,ALT,PL,2017,10619
A,NR,ALT,PL,2018,8243
A,NR,ALT,PL,2019,9964
A,NR,ALT,PL,2020,13010
A,NR,ALT,PL,2021,20671
A,NR,ALT,PL,2022,23534
A,NR,ALT,PL,2023,29674
A,NR,ALT,PL,2024,33126
A,NR,ALT,PT,2017,3723
A,NR,ALT,PT,2018,6383
A,NR,ALT,PT,2019,9173
A,NR,ALT,PT,2020,9822
A,NR,ALT,PT,2021,17198
A,NR,ALT,PT,2022,24138
A,NR,ALT,PT,2023,47805
A,NR,ALT,PT,2024,56902
A,NR,ALT,RO,2015,762
A,NR,ALT,RO,2016,1068
A,NR,ALT,RO,2017,1141
A,NR,ALT,RO,2018,1964
A,NR,ALT,RO,2019,2922
A,NR,ALT,RO,2020,12122
A,NR,ALT,RO,2021,22296
A,NR,ALT,RO,2022,25203
A,NR,ALT,RO,2023,33036
A,NR,ALT,RO,2024,25196
A,NR,ALT,SE,2015,9434
A,NR,ALT,SE,2016,7711
A,NR,ALT,SE,2017,9477
A,NR,ALT,SE,2018,11487
A,NR,ALT,SE,2019,21958
A,NR,ALT,SE,2020,31525
A,NR,ALT,SE,2021,60416
A,NR,ALT,SE,2022,99960
A,NR,ALT,SE,2023,118536
A,NR,ALT,SE,2024,99629
A,NR,ALT,SI,2015,599
A,NR,ALT,SI,2016,881
A,NR,ALT,SI,2017,1838
A,NR,ALT,SI,2018,2401
A,NR,ALT,SI,2019,3274
A,NR,ALT,SI,2020,3162
A,NR,ALT,SI,2021,4466
A,NR,ALT,SI,2022,5074
A,NR,ALT,SI,2023,4810
A,NR,ALT,SI,2024,3987
A,NR,ALT,SK,2016,536
A,NR,ALT,SK,2017,979
A,NR,ALT,SK,2018,1051
A,NR,ALT,SK,2019,557
A,NR,ALT,SK,2020,1864
A,NR,ALT,SK,2021,2293
A,NR,ALT,SK,2022,3207
A,NR,ALT,SK,2023,4329
A,NR,ALT,SK,2024,4157
A,NR,DIE,AT,2015,180510
