freq,age,sex,statinfo,unit,geo,time,value
A,TOTAL,T,MED_EI,PPS,FI,2024,23055
A,TOTAL,T,MED_EI,PPS,FR,2015,19885
A,TOTAL,T,MED_EI,PPS,FR,2016,20621
A,TOTAL,T,MED_EI,PPS,FR,2017,20357
A,TOTAL,T,MED_EI,PPS,FR,2018,20223
A,TOTAL,T,MED_EI,PPS,FR,2019,20471
A,TOTAL,T,MED_EI,PPS,FR,2020,19518
A,TOTAL,T,MED_EI,PPS,FR,2021,20100
A,TOTAL,T,MED_EI,PPS,FR,2022,20575
A,TOTAL,T,MED_EI,PPS,FR,2023,21875
A,TOTAL,T,MED_EI,PPS,FR,2024,23222
A,TOTAL,T,MED_EI,PPS,HR,2015,8253
A,TOTAL,T,MED_EI,PPS,HR,2016,8985
A,TOTAL,T,MED_EI,PPS,HR,2017,9444
A,TOTAL,T,MED_EI,PPS,HR,2018,9870
A,TOTAL,T,MED_EI,PPS,HR,2019,10734
A,TOTAL,T,MED_EI,PPS,HR,2020,11090
A,TOTAL,T,MED_EI,PPS,HR,2021,11385
A,TOTAL,T,MED_EI,PPS,HR,2022,12277
A,TOTAL,T,MED_EI,PPS,HR,2023,13438
A,TOTAL,T,MED_EI,PPS,HR,2024,16277
A,TOTAL,T,MED_EI,PPS,HU,2015,7919
A,TOTAL,T,MED_EI,PPS,HU,2016,8267
A,TOTAL,T,MED_EI,PPS,HU,2017,8332
A,TOTAL,T,MED_EI,PPS,HU,2018,8603
A,TOTAL,T,MED_EI,PPS,HU,2019,9344
A,TOTAL,T,MED_EI,PPS,HU,2020,9056
A,TOTAL,T,MED_EI,PPS,HU,2021,9960
A,TOTAL,T,MED_EI,PPS,HU,2022,10620
A,TOTAL,T,MED_EI,PPS,HU,2023,10913
A,TOTAL,T,MED_EI,PPS,HU,2024,11199
A,TOTAL,T,MED_EI,PPS,IE,2015,17656
A,TOTAL,T,MED_EI,PPS,IE,2016,18397
A,TOTAL,T,MED_EI,PPS,IE,2017,18198
A,TOTAL,T,MED_EI,PPS,IE,2018,19464
A,TOTAL,T,MED_EI,PPS,IE,2019,19692
A,TOTAL,T,MED_EI,PPS,IE,2020,19720
A,TOTAL,T,MED_EI,PPS,IE,2021,20551
A,TOTAL,T,MED_EI,PPS,IE,2022,20904
A,TOTAL,T,MED_EI,PPS,IE,2023,21568
A,TOTAL,T,MED_EI,PPS,IE,2024,23288
A,TOTAL,T,MED_EI,PPS,IT,2015,15395
A,TOTAL,T,MED_EI,PPS,IT,2016,16237
A,TOTAL,T,MED_EI,PPS,IT,2017,16522
A,TOTAL,T,MED_EI,PPS,IT,2018,16715
A,TOTAL,T,MED_EI,PPS,IT,2019,17099
A,TOTAL,T,MED_EI,PPS,IT,2020,17764
A,TOTAL,T,MED_EI,PPS,IT,2021,17304
A,TOTAL,T,MED_EI,PPS,IT,2022,18472
A,TOTAL,T,MED_EI,PPS,IT,2023,19691
A,TOTAL,T,MED_EI,PPS,IT,2024,20804
A,TOTAL,T,MED_EI,PPS,LT,2015,8251
A,TOTAL,T,MED_EI,PPS,LT,2016,9364
A,TOTAL,T,MED_EI,PPS,LT,2017,9819
A,TOTAL,T,MED_EI,PPS,LT,2018,10702
A,TOTAL,T,MED_EI,PPS,LT,2019,11509
A,TOTAL,T,MED_EI,PPS,LT,2020,12546
A,TOTAL,T,MED_EI,PPS,LT,2021,13742
A,TOTAL,T,MED_EI,PPS,LT,2022,14202
A,TOTAL,T,MED_EI,PPS,LT,2023,14312
A,TOTAL,T,MED_EI,PPS,LT,2024,15110
A,TOTAL,T,MED_EI,PPS,LU,2015,29285
A,TOTAL,T,MED_EI,PPS,LU,2016,27834
A,TOTAL,T,MED_EI,PPS,LU,2017,29596
A,TOTAL,T,MED_EI,PPS,LU,2018,27529
A,TOTAL,T,MED_EI,PPS,LU,2019,28943
A,TOTAL,T,MED_EI,PPS,LU,2020,28675
A,TOTAL,T,MED_EI,PPS,LU,2021,32132
A,TOTAL,T,MED_EI,PPS,LU,2022,33214
A,TOTAL,T,MED_EI,PPS,LU,2023,34777
A,TOTAL,T,MED_EI,PPS,LU,2024,37781
A,TOTAL,T,MED_EI,PPS,LV,2015,8092
A,TOTAL,T,MED_EI,PPS,LV,2016,9257
A,TOTAL,T,MED_EI,PPS,LV,2017,9248
A,TOTAL,T,MED_EI,PPS,LV,2018,10031
A,TOTAL,T,MED_EI,PPS,LV,2019,11031
A,TOTAL,T,MED_EI,PPS,LV,2020,11339
A,TOTAL,T,MED_EI,PPS,LV,2021,11975
A,TOTAL,T,MED_EI,PPS,LV,2022,12845
A,TOTAL,T,MED_EI,PPS,LV,2023,13228
A,TOTAL,T,MED_EI,PPS,LV,2024,14721
A,TOTAL,T,MED_EI,PPS,MT,2015,16753
A,TOTAL,T,MED_EI,PPS,MT,2016,17264
A,TOTAL,T,MED_EI,PPS,MT,2017,17899
A,TOTAL,T,MED_EI,PPS,MT,2018,17932
A,TOTAL,T,MED_EI,PPS,MT,2019,18588
A,TOTAL,T,MED_EI,PPS,MT,2020,18756
A,TOTAL,T,MED_EI,PPS,MT,2021,19012
A,TOTAL,T,MED_EI,PPS,MT,2022,20698
A,TOTAL,T,MED_EI,PPS,MT,2023,21060
A,TOTAL,T,MED_EI,PPS,MT,2024,22077
A,TOTAL,T,MED_EI,PPS,NL,2015,19387
A,TOTAL,T,MED_EI,PPS,NL,2016,21189
A,TOTAL,T,MED_EI,PPS,NL,2017,21195
A,TOTAL,T,MED_EI,PPS,NL,2018,21528
A,TOTAL,T,MED_EI,PPS,NL,2019,21968
A,TOTAL,T,MED_EI,PPS,NL,2020,22117
A,TOTAL,T,MED_EI,PPS,NL,2021,24560
A,TOTAL,T,MED_EI,PPS,NL,2022,25437
A,TOTAL,T,MED_EI,PPS,NL,2023,25116
A,TOTAL,T,MED_EI,PPS,NL,2024,27091
A,TOTAL,T,MED_EI,PPS,PL,2015,9950
A,TOTAL,T,MED_EI,PPS,PL,2016,10865
A,TOTAL,T,MED_EI,PPS,PL,2017,11079
A,TOTAL,T,MED_EI,PPS,PL,2018,11513
