country_code,country,region,year,new_cars_total,new_cars_bev,new_cars_phev,ev_share,ev_phev_share,ev_level,gdp_per_capita_pps,median_disposable_income,aic_per_capita_pps,population,fuel_price,electricity_price,environmental_expenditure,bev_per_100k,gdp_change_pct,ev_share_change_pp
AT,Austria,Западная Европа,2015,308555.0,1677.0,1101.0,0.543501158626501,0.9003257117855812,до 1%,35681.9,21981.0,23093.3,8584926.0,1.2020816326530612,0.1996,0.4,19.534239433164597,,
AT,Austria,Западная Европа,2016,329604.0,3826.0,1237.0,1.1607868836543245,1.5360857271149622,1-5%,36385.1,23071.0,23408.9,8700471.0,1.11142,0.2022,0.4,43.974630798723425,1.9707470734461996,0.6172857250278235
AT,Austria,Западная Европа,2017,353320.0,5433.0,1721.0,1.5376995358315408,2.024793388429752,1-5%,37012.2,23361.0,23882.3,8772865.0,1.17744,0.19640000000000002,0.4,61.92959768559074,1.7235076995803178,0.37691265217721637
AT,Austria,Западная Европа,2018,341068.0,6757.0,2258.0,1.9811298626666822,2.643167931321613,1-5%,38419.4,23204.0,24516.7,8822267.0,1.26434,0.1989,0.4,76.5902913616194,3.8019896142353238,0.4434303268351414
AT,Austria,Западная Европа,2019,329363.0,9242.0,2156.0,2.8060225344073255,3.4606194381275373,1-5%,39263.8,23687.0,24965.0,8858775.0,1.238204081632653,0.2054,0.4,104.32593671246872,2.197847962227417,0.8248926717406433
AT,Austria,Западная Европа,2020,248740.0,15972.0,7641.0,6.421162659805419,9.493044946530514,5-15%,37385.6,23334.0,23604.3,8901064.0,1.08368,0.2139,0.4,179.43922209749306,-4.783541073456988,3.6151401253980935
AT,Austria,Западная Европа,2021,239803.0,33366.0,14626.0,13.91392101016251,20.01309408139181,5-15%,40185.6,24450.0,25686.7,8932664.0,1.2833673469387754,0.22505,0.4,373.5279867237814,7.489514679448761,7.49275835035709
AT,Austria,Западная Европа,2022,215050.0,34165.0,13268.0,15.887003022552895,22.056730992792374,выше 15%,44569.5,25119.0,28670.4,8978929.0,1.7277058823529412,0.23095,0.5,380.5019507337679,10.90913162924032,1.9730820123903854
AT,Austria,Западная Европа,2023,239150.0,47621.0,16956.0,19.912607150324064,27.002717959439682,выше 15%,46391.9,28690.0,30138.3,9104772.0,1.5954117647058825,0.27005,0.6,523.033415883451,4.088894872053772,4.025604127771169
AT,Austria,Западная Европа,2024,253789.0,44622.0,16928.0,17.582322322874514,24.25243016836821,выше 15%,47527.9,29758.0,31379.6,9158750.0,1.5682452830188678,0.2584,0.7,487.20622355670804,2.448703329676083,-2.3302848274495496
BE,Belgium,Западная Европа,2015,506284.0,1360.0,,0.2686239343925544,,до 1%,33127.0,19921.0,22339.7,11237274.0,1.365825918367347,0.2239,1.3,12.102579326623164,,
BE,Belgium,Западная Европа,2016,546142.0,2061.0,,0.37737438248660604,,до 1%,33631.0,21335.0,22670.2,11311117.0,1.2633166,0.26445,1.2,18.221012124620408,1.5214175747879422,0.10875044809405165
BE,Belgium,Западная Европа,2017,553692.0,2717.0,,0.49070602428787125,,до 1%,34519.6,20904.0,23338.4,11351727.0,1.3504261999999998,0.2867,1.3,23.934684123393737,2.642205108382134,0.1133316418012652
BE,Belgium,Западная Европа,2018,557487.0,3763.0,,0.6749933182298421,,до 1%,35579.3,21353.0,24076.4,11398589.0,1.4031835999999998,0.28800000000000003,1.3,33.012857994967625,3.0698501720761717,0.18428729394197085
BE,Belgium,Западная Европа,2019,558003.0,8892.0,,1.5935398196783888,,1-5%,36884.8,22141.0,24638.0,11455519.0,1.391061224489796,0.28495,1.3,77.62197417681381,3.6692683667188586,0.9185465014485467
BE,Belgium,Западная Европа,2020,439038.0,15044.0,,3.426582664826279,,1-5%,35850.5,22391.0,23612.1,11522440.0,1.2775436,0.2747,1.4,130.56262388869024,-2.804136121112233,1.8330428451478904
BE,Belgium,Западная Европа,2021,392769.0,22774.0,,5.798319113779346,,5-15%,38699.2,22768.0,25314.9,11554767.0,1.4857632653061223,0.2848,1.4,197.0961422242439,7.946053750993709,2.371736448953067
BE,Belgium,Западная Европа,2022,374597.0,37760.0,59269.0,10.080166151891232,25.9022362699114,5-15%,42520.4,24159.0,28396.9,11617623.0,1.797892745098039,0.3963,1.2,325.0234578966799,9.874105924670285,4.281847038111886
BE,Belgium,Западная Европа,2023,484639.0,93482.0,100308.0,19.28899655207278,39.986464151667526,выше 15%,45367.3,25150.0,30338.0,11742796.0,1.723139807692308,0.4064,1.2,796.0795708279358,6.695374455555458,9.208830400181549
BE,Belgium,Западная Европа,2024,456303.0,127915.0,67034.0,28.03290795808925,42.723584986292,выше 15%,46587.9,26361.0,31479.6,11817096.0,1.635917358490566,0.33335,1.2,1082.4571451395504,2.690484115210734,8.743911406016469
BG,Bulgaria,Восточная Европа,2015,17271.0,10.0,,0.057900526894794746,,до 1%,13586.9,6882.0,9522.7,7029690.0,1.1029548979591837,0.09495,0.8,0.14225378359500918,,
BG,Bulgaria,Восточная Европа,2016,20386.0,11.0,,0.05395859903855587,,до 1%,14411.0,6742.0,9841.1,6938759.0,0.9838294000000001,0.0947,0.7,0.15852978897235082,6.065401232069134,-0.003941927856238876
BG,Bulgaria,Восточная Европа,2017,25995.0,13.0,,0.05000961723408348,,до 1%,15329.3,7533.0,10396.1,6849518.0,1.0259268,0.0969,0.7,0.18979437677220498,6.372215668586501,-0.003948981804472389
BG,Bulgaria,Восточная Европа,2018,28584.0,145.0,,0.5072767982087881,,до 1%,16273.7,7218.0,11035.1,6757418.0,1.0982826,0.09920000000000001,0.7,2.145790004407009,6.160750980149143,0.45726718097470465
BG,Bulgaria,Восточная Европа,2019,32885.0,188.0,,0.5716892200091227,,до 1%,17407.9,8371.0,11743.7,6664177.0,1.0842144897959183,0.09775,0.7,2.8210535224379543,6.96952751986335,0.06441242180033457
BG,Bulgaria,Восточная Европа,2020,20429.0,139.0,41.0,0.6804053061823878,0.8811003964951785,до 1%,17473.0,8647.0,11830.3,6569275.0,0.9311896000000001,0.09895,0.7,2.115910812075914,0.3739681409015372,0.10871608617326511
BG,Bulgaria,Восточная Европа,2021,24467.0,321.0,97.0,1.311971226550047,1.7084235909592513,1-5%,19748.1,9375.0,13391.8,6532117.0,1.075895306122449,0.10575000000000001,0.8,4.914180196098753,13.020660447547638,0.6315659203676591
BG,Bulgaria,Восточная Европа,2022,28568.0,1021.0,141.0,3.5739288714645756,4.067488098571829,1-5%,22421.2,9671.0,15053.2,6482484.0,1.463731176470588,0.11199999999999999,0.7,15.750135287645909,13.535985740400358,2.2619576449145287
BG,Bulgaria,Восточная Европа,2023,37476.0,1754.0,355.0,4.68032874372932,5.627601665065642,1-5%,24254.4,11155.0,16312.1,6447710.0,1.3377064705882353,0.11649999999999999,0.6,27.203456731149508,8.17619039123687,1.1063998722647446
BG,Bulgaria,Восточная Европа,2024,42799.0,1665.0,467.0,3.890277810229211,4.981424799644851,1-5%,26324.3,13079.0,17891.3,6445481.0,1.3106739682646873,0.1202,0.6,25.832051944610495,8.534121643907898,-0.7900509335001091
CY,Cyprus,Южная Европа,2015,10078.0,4.0,,0.03969041476483429,,до 1%,22563.5,15313.0,16985.7,860846.0,1.2285032653061225,0.18975,0.7,0.4646591841049386,,
CY,Cyprus,Южная Европа,2016,12468.0,7.0,,0.05614372794353545,,до 1%,24483.3,16173.0,17860.7,863764.0,1.1451035999999999,0.15739999999999998,0.6,0.8104065462325357,8.508431759257196,0.016453313178701155
CY,Cyprus,Южная Европа,2017,13118.0,18.0,,0.13721603903034,,до 1%,25941.8,16877.0,18817.7,869878.0,1.2081784,0.18445,0.5,2.0692556887287643,5.95712179322232,0.08107231108680454
CY,Cyprus,Южная Европа,2018,13126.0,5.0,,0.03809233582203261,,до 1%,27303.3,17505.0,19647.8,878601.0,1.2799669999999999,0.20379999999999998,0.5,0.5690865364369037,5.248286549121506,-0.09912370320830738
CY,Cyprus,Южная Европа,2019,12601.0,58.0,,0.4602809300849139,,до 1%,28873.4,18844.0,20649.1,890194.0,1.1830710204081634,0.22194999999999998,0.5,6.51543371444876,5.750586925389989,0.4221885942628813
CY,Cyprus,Южная Европа,2020,10237.0,42.0,,0.4102764481781772,,до 1%,27194.2,18652.0,19596.4,902429.0,1.0802954,0.19155,0.7,4.654105752363898,-5.815733512506327,-0.050004481906736675
CY,Cyprus,Южная Европа,2021,10611.0,78.0,84.0,0.7350862312694374,1.5267175572519085,до 1%,30382.9,18629.0,20565.0,914476.0,1.24614693877551,0.214,0.7,8.529474803056614,11.725662089710308,0.3248097830912602
CY,Cyprus,Южная Европа,2022,11577.0,401.0,231.0,3.4637643603696984,5.459099939535285,1-5%,34492.5,19891.0,23490.7,929764.0,1.5368096078431372,0.2934,0.7,43.12922419022462,13.526029444193943,2.728678129100261
CY,Cyprus,Южная Европа,2023,14637.0,788.0,510.0,5.383616861378698,8.867937418869987,5-15%,37400.0,20917.0,25642.3,949084.0,1.4478507692307694,0.35955000000000004,0.7,83.0274243375718,8.4293687033413,1.9198525010089997
CY,Cyprus,Южная Европа,2024,15061.0,1193.0,664.0,7.9211207755129145,12.329858575127814,5-15%,39456.4,22817.0,26819.7,966365.0,1.4397558490566036,0.3246,0.6,123.45231874084844,5.498395721925142,2.5375039141342164
CZ,Czechia,Восточная Европа,2015,229731.0,312.0,,0.13581101375086516,,до 1%,24603.7,11652.0,14337.0,10538275.0,1.1541879591836735,0.13965,1.2,2.9606363470302304,,
CZ,Czechia,Восточная Европа,2016,257854.0,210.0,,0.0814414358512957,,до 1%,25443.3,12478.0,14877.5,10553843.0,1.058425,0.14205,0.8,1.9897965129858384,3.412494868657956,-0.05436957789956946
CZ,Czechia,Восточная Европа,2017,269622.0,376.0,,0.13945449555303352,,до 1%,27214.7,12641.0,15970.1,10578820.0,1.1509200000000002,0.14629999999999999,0.9,3.5542716484447228,6.962147205747682,0.058013059701737826
CZ,Czechia,Восточная Европа,2018,259525.0,731.0,,0.2816684327136114,,до 1%,28492.8,13264.0,16924.2,10610055.0,1.2527136,0.15794999999999998,0.9,6.889690958246682,4.696358953065793,0.1422139371605779
CZ,Czechia,Восточная Европа,2019,247567.0,778.0,,0.31425836238270854,,до 1%,30008.3,14035.0,17698.6,10649800.0,1.2418142857142858,0.1759,0.9,7.30530150800954,5.31888757861636,0.03258992966909713
CZ,Czechia,Восточная Европа,2020,198400.0,3284.0,1981.0,1.655241935483871,2.6537298387096775,1-5%,29178.2,14151.0,17275.5,10693939.0,1.0678868,0.18180000000000002,0.9,30.70898384589626,-2.7662346750732203,1.3409835731011626
