country,2015,2024,"изменение, п.п."
Denmark,0.6121372542377802,51.34180017410254,50.7
Malta,0.3208705357142857,37.65456202004425,37.3
Sweden,0.8057296329453895,34.92081080282481,34.1
Netherlands,0.7112847678578589,34.647396995252485,33.9
Finland,0.2233065916797618,29.524130948363144,29.3
Belgium,0.2686239343925544,28.03290795808925,27.8
Luxembourg,0.1570804553181417,27.39787713091026,27.2
Portugal,0.3876859295778593,19.85257424754409,19.5
Austria,0.543501158626501,17.582322322874514,17.0
France,0.9155304048447988,16.561310746640622,15.6
Ireland,0.3801198839634038,14.208314021320462,13.8
Germany,0.385615659433033,13.509559224670442,13.1
Cyprus,0.0396904147648342,7.921120775512914,7.9
Latvia,0.1189559862850745,7.353370294718412,7.2
Hungary,0.1498436975224119,7.042589213800812,6.9
Lithuania,0.1889946936105255,6.737983271709085,6.5
Romania,0.0344933785032337,6.482247443830449,6.4
Greece,0.0423857901638475,6.356946796706184,6.3
Slovenia,0.2027427968616074,6.003845202063465,5.8
Spain,0.2500520146366324,5.564520058622228,5.3
Estonia,0.1424230915305735,5.139061528899938,5.0
Czechia,0.1358110137508651,4.989885987495403,4.9
Italy,0.098879636002477,4.183536440595994,4.1
Bulgaria,0.0579005268947947,3.890277810229211,3.8
Poland,0.0314309207295341,2.988553860365757,3.0
Slovakia,0.0191864927091327,2.4327099536834744,2.4
Croatia,0.2297530155083285,1.8449566999958165,1.6
